method,model,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,mse_std,r2_mean,r2_std,runtime_seconds_mean,runtime_seconds_std
idw,cnn_lstm_maskaware,5.99277425668144,1.6235471777361903,4.042597484588623,0.6453941098865457,38.022067642211915,20.0423574961071,-0.7368194199677256,0.6016172016631965,3.606532600009814,0.37336972810796026
idw,lasso,0.9034348577281396,0.12010188685705,0.5984982967376709,0.09126755223594676,0.827734112739563,0.2033415352743758,0.9546243737584857,0.025358159886000726,9.441262100002495,1.2781474618859643
idw,lightgbm,1.2821485117091178,0.5875932495824862,0.646225756406784,0.1494323803620329,1.9201174676418304,1.8042184368968115,0.9286607411624722,0.01765692022085155,4.843125680001686,0.9981908958371744
idw,persistence,0.9966714770268036,0.12364994246631279,0.6810284376144409,0.08458506065690528,1.0055854797363282,0.2300595004998699,0.9445399892909245,0.03115856821961415,5.1620003068819643e-05,1.1303622880944208e-05
linear,cnn_lstm_maskaware,7.343510776044932,0.6093235664718744,4.681411552429199,0.21547333617140838,54.22417068481445,8.938920137044482,-0.3285202966121871,0.11893566224342092,5.577775479998673,0.721758022389657
linear,lasso,1.3835837378586788,0.060326562420309725,0.9888060688972473,0.04257378190732406,1.917215394973755,0.16624265186204676,0.9517175767331271,0.01192980185538787,6.526615300006233,0.34042028512704836
linear,lightgbm,2.0523835016542336,0.4704575833456451,1.0756862878799438,0.05212709604242782,4.389342308044434,1.9353056707355119,0.8973469355757056,0.02809727496157717,4.882215759996325,1.494369673930527
linear,persistence,1.5588848583153252,0.09535929154218042,1.0937984228134154,0.05860958918887822,2.4373967170715334,0.3029872851075443,0.9392079150065709,0.01250193161966293,3.492000978440046e-05,7.056701207101719e-06
nearest,cnn_lstm_maskaware,7.4452858830551065,1.6050928404199967,4.732890939712524,0.7526680788045512,57.49334030151367,24.23073631811069,-0.290086049770585,0.11197485975744444,4.879965240001911,1.8476427823290578
nearest,lasso,1.7504920427131356,0.1469136025185369,1.163633441925049,0.13628833668888973,3.0814892768859865,0.510444910661736,0.9225636520664622,0.027956843229335962,6.720121420000214,0.4240106448640033
nearest,lightgbm,2.0356400220135513,0.4557031099342616,1.1599083185195922,0.1813383585689115,4.309962558746338,1.9471403166623107,0.9032679188414395,0.013181528131250175,4.06914976000553,0.29498806168256875
nearest,persistence,1.9461334556457537,0.19897508718741058,1.2891145706176759,0.12422384134798592,3.8191082954406737,0.7337190879928129,0.9046265586815064,0.034703750026623625,4.2740011122077706e-05,1.9982402720182626e-06
rbf,cnn_lstm_maskaware,6.687667770799623,1.0622941180532322,4.61207127571106,0.5392513742664908,45.627675247192386,13.720020622669388,-0.38739051941033475,0.14046911920329377,41.9860624599969,71.24426678520892
rbf,lasso,1.2348770128282303,0.054181501242051615,0.888733184337616,0.04178270179114513,1.5272697448730468,0.1323686274567053,0.9494711609412478,0.01913236002810882,8.772836260002805,2.332287366486263
rbf,lightgbm,1.625774424019306,0.3877482083893945,0.9591206192970276,0.07555856340390658,2.763421416282654,1.3350471467786118,0.9191446150904513,0.014719361431168356,5.488155980000738,2.0438360763160257
rbf,persistence,1.4291424131108772,0.08771009565862978,1.0341799020767213,0.07553226505651957,2.048602485656738,0.24395819905988247,0.9328164998570923,0.022799861121120275,5.489999894052744e-05,1.726601110535789e-05
