seed,model,rmse,mae,mse,r2,runtime_seconds,peak_gpu_memory_mb,best_epoch,train_patch_count,val_patch_count,metrics_path
42,cnn_lstm_maskaware,1.5748554768936123,1.0743838548660278,2.4801697731018066,0.945071516707327,19.988938700000062,2482.416015625,1,177,56,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_lstm_maskaware\linear\split_seed_42\metrics.json
42,cnn_tcn,1.5745145836860681,1.0744198560714722,2.4790961742401123,0.945095294727819,18.65512160000003,2415.025390625,1,177,56,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_tcn\linear\split_seed_42\metrics.json
43,cnn_lstm_maskaware,1.7050909192631023,1.1896494626998901,2.907335042953491,0.9456099079279341,19.094830300000012,2483.072265625,1,172,58,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_lstm_maskaware\linear\split_seed_43\metrics.json
43,cnn_tcn,1.7050017769096713,1.1893138885498047,2.9070310592651367,0.9456155941412855,18.15143379999995,2415.025390625,1,172,58,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_tcn\linear\split_seed_43\metrics.json
44,cnn_lstm_maskaware,1.4633288879298043,1.040540337562561,2.141331434249878,0.9510360918345334,20.987613699999883,2482.736328125,2,176,62,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_lstm_maskaware\linear\split_seed_44\metrics.json
44,cnn_tcn,1.4629087969029477,1.040015697479248,2.1401021480560303,0.9510642023948073,18.587544699999853,2415.025390625,1,176,62,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_tcn\linear\split_seed_44\metrics.json
45,cnn_lstm_maskaware,1.5661480089059816,1.1023632287979126,2.452819585800171,0.9193407583330229,19.203579199999922,2482.947265625,1,174,54,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_lstm_maskaware\linear\split_seed_45\metrics.json
45,cnn_tcn,1.5684071078702961,1.1052995920181274,2.4599008560180664,0.9191078885738229,23.6061236999999,2415.025390625,5,174,54,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_tcn\linear\split_seed_45\metrics.json
46,cnn_lstm_maskaware,1.4860383201114706,1.0574434995651245,2.2083098888397217,0.9348719093214409,19.44115429999988,2484.28515625,1,174,60,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_lstm_maskaware\linear\split_seed_46\metrics.json
46,cnn_tcn,1.485578430627044,1.057270884513855,2.2069432735443115,0.9349122145633244,18.46676690000004,2415.197265625,1,174,60,C:\Users\Jupyter\Desktop\found_training_project\revision_outputs\deep_model_repair\primary_multiseed\cnn_tcn\linear\split_seed_46\metrics.json
