seed,model,support,grid_rows,grid_cols,valid_product_cells,n,rmse,mae,bias,p95_absolute_error,direct_native_rmse,support_penalty_mm,interpolation_seconds,inference_seconds,max_abs_difference_from_saved_direct_prediction,max_abs_difference_from_saved_grid,history_support_operation,missing_cell_operation
42,lasso,native_100m_masked,692,1000,128757,20236,1.2151601314544678,0.7450998425483704,-0.028948523104190826,2.5460727214813232,1.2151602506637573,-1.1920928955078125e-07,0.0,0.1362546000018483,2.288818359375e-05,,none,masked_not_filled
42,spar,native_100m_masked,692,1000,128757,20236,0.907241940498352,0.5709441304206848,-0.00574203347787261,1.91336989402771,0.907241940498352,0.0,0.0,0.19089969999913592,2.86102294921875e-05,,none,masked_not_filled
43,lasso,native_100m_masked,692,1000,128757,19860,1.3420703411102295,0.8507923483848572,-0.0378449410200119,2.795071840286255,1.3420703411102295,0.0,0.0,0.06192689999807044,3.814697265625e-05,,none,masked_not_filled
43,spar,native_100m_masked,692,1000,128757,19860,1.1013094186782837,0.6942307949066162,0.058937858790159225,2.331151247024536,1.1013094186782837,0.0,0.0,0.16167980000318494,3.62396240234375e-05,,none,masked_not_filled
44,lasso,native_100m_masked,692,1000,128757,19756,1.6625996828079224,1.1076107025146484,0.0658261701464653,3.484323501586914,1.6625996828079224,0.0,0.0,0.037938299999950686,3.4332275390625e-05,,none,masked_not_filled
44,spar,native_100m_masked,692,1000,128757,19756,1.319554090499878,0.8811579346656799,-0.0360616073012352,2.836965322494507,1.319554090499878,0.0,0.0,0.16958599999998114,3.0517578125e-05,,none,masked_not_filled
45,lasso,native_100m_masked,692,1000,128757,18414,1.7290350198745728,1.1494154930114746,-0.008138496428728104,3.7056539058685303,1.7290350198745728,0.0,0.0,0.0381186999984493,1.52587890625e-05,,none,masked_not_filled
45,spar,native_100m_masked,692,1000,128757,18414,1.3360460996627808,0.9022256135940552,-0.1291244775056839,2.828545570373535,1.3360460996627808,0.0,0.0,0.15185879999989993,2.47955322265625e-05,,none,masked_not_filled
46,lasso,native_100m_masked,692,1000,128757,18577,1.5884687900543213,1.0434072017669678,-0.10047012567520142,3.3723952770233154,1.5884687900543213,0.0,0.0,0.03678529999888269,3.4332275390625e-05,,none,masked_not_filled
46,spar,native_100m_masked,692,1000,128757,18577,1.1703824996948242,0.7814573049545288,0.03956472501158714,2.5132899284362793,1.1703824996948242,0.0,0.0,0.15434389999791165,3.24249267578125e-05,,none,masked_not_filled
42,lasso,128x128_idw_history,128,128,128757,20236,3.460446834564209,1.9908947944641113,-0.04405386000871658,6.659826755523682,1.2151602506637573,2.2452865839004517,0.23335209999640938,0.005492199998116121,,,IDW history reconstruction plus square-grid resampling,IDW_filled
42,spar,128x128_idw_history,128,128,128757,20236,3.4578871726989746,1.9885677099227905,-0.03513442352414131,6.626015663146973,0.907241940498352,2.5506452322006226,0.23335209999640938,0.017477000001235865,,,IDW history reconstruction plus square-grid resampling,IDW_filled
43,lasso,128x128_idw_history,128,128,128757,19860,3.7059714794158936,2.2180774211883545,-0.04541218653321266,7.279817581176758,1.3420703411102295,2.363901138305664,0.23335209999640938,0.0027409999966039322,,,IDW history reconstruction plus square-grid resampling,IDW_filled
43,spar,128x128_idw_history,128,128,128757,19860,3.7005488872528076,2.206556558609009,0.030119866132736206,7.290637969970703,1.1013094186782837,2.599239468574524,0.23335209999640938,0.01772319999872707,,,IDW history reconstruction plus square-grid resampling,IDW_filled
44,lasso,128x128_idw_history,128,128,128757,19756,4.566023826599121,2.90017032623291,0.016120173037052155,9.175434112548828,1.6625996828079224,2.9034241437911987,0.23335209999640938,0.0023811000028217677,,,IDW history reconstruction plus square-grid resampling,IDW_filled
44,spar,128x128_idw_history,128,128,128757,19756,4.558614253997803,2.8949685096740723,-0.08674871176481247,9.161566734313965,1.319554090499878,3.239060163497925,0.23335209999640938,0.017835499998909654,,,IDW history reconstruction plus square-grid resampling,IDW_filled
45,lasso,128x128_idw_history,128,128,128757,18414,5.209023952484131,3.3721094131469727,0.005502093583345413,10.799995422363281,1.7290350198745728,3.479988932609558,0.23335209999640938,0.0026092000007338356,,,IDW history reconstruction plus square-grid resampling,IDW_filled
45,spar,128x128_idw_history,128,128,128757,18414,5.206188201904297,3.3846726417541504,-0.12862861156463623,10.785118103027344,1.3360460996627808,3.870142102241516,0.23335209999640938,0.018091900001309114,,,IDW history reconstruction plus square-grid resampling,IDW_filled
46,lasso,128x128_idw_history,128,128,128757,18577,5.302916049957275,3.2819600105285645,-0.23831972479820251,11.192267417907715,1.5884687900543213,3.714447259902954,0.23335209999640938,0.002582799999800045,,,IDW history reconstruction plus square-grid resampling,IDW_filled
46,spar,128x128_idw_history,128,128,128757,18577,5.281989574432373,3.249447822570801,-0.07498695701360703,11.145139694213867,1.1703824996948242,4.111607074737549,0.23335209999640938,0.018348000005062204,,,IDW history reconstruction plus square-grid resampling,IDW_filled
42,lasso,256x256_idw_history,256,256,128757,20236,2.91459584236145,1.7186498641967773,-0.03734663873910904,5.768525123596191,1.2151602506637573,1.6994355916976929,0.9650242000025173,0.016201999998884276,,6.103515625e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
42,spar,256x256_idw_history,256,256,128757,20236,2.88887619972229,1.6956464052200317,-0.013722003437578678,5.752603054046631,0.907241940498352,1.981634259223938,0.9650242000025173,0.08007729999735602,,3.0517578125e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
43,lasso,256x256_idw_history,256,256,128757,19860,3.234574556350708,1.9553178548812866,-0.04300002008676529,6.4451494216918945,1.3420703411102295,1.8925042152404785,0.9650242000025173,0.013084700003673788,,9.1552734375e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
43,spar,256x256_idw_history,256,256,128757,19860,3.20562481880188,1.925637125968933,0.03938443213701248,6.334334850311279,1.1013094186782837,2.104315400123596,0.9650242000025173,0.08026500000050873,,2.47955322265625e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
44,lasso,256x256_idw_history,256,256,128757,19756,3.8257248401641846,2.4878580570220947,0.04056413471698761,7.769659042358398,1.6625996828079224,2.163125157356262,0.9650242000025173,0.015107300005183788,,3.814697265625e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
44,spar,256x256_idw_history,256,256,128757,19756,3.792372465133667,2.461149215698242,-0.052742358297109604,7.647894382476807,1.319554090499878,2.472818374633789,0.9650242000025173,0.08252139999967767,,2.288818359375e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
45,lasso,256x256_idw_history,256,256,128757,18414,4.274547100067139,2.838366985321045,-0.048642657697200775,8.986747741699219,1.7290350198745728,2.545512080192566,0.9650242000025173,0.015374899994640145,,3.0517578125e-05,IDW history reconstruction plus square-grid resampling,IDW_filled
